participant_id,expert_group,age,experience,image,study,dr_score,dmo_score,dr_grade,dmo_grade,time_sec,zoom_1.0,zoom_1.5,zoom_2.25,zoom_3.375,zoom_5.0625,zoom_7.59375,zoom_11.390625,zoom_17.0859375
1620,Optometrist,36,7,007-7017-400_1140x848,thinkaloud,0,4,4,3,42.32018999999991,525,322,6,2022,0,0,0,0
1620,Optometrist,36,7,007-7175-400_1140x848,thinkaloud,0,4,4,3,53.54870000000005,1991,496,392,985,0,0,0,0
1620,Optometrist,36,7,007-7265-400_1140x848,thinkaloud,0,3,4,2,42.708740000000034,1049,1005,0,1027,0,0,0,0
1620,Optometrist,36,7,20170228231807286_1140x848,thinkaloud,0,0,0,0,36.12402999999995,208,1388,74,937,0,0,0,0
1620,Optometrist,36,7,20170511224838938_1140x848,thinkaloud,0,3,2,2,66.6896999999999,159,1205,697,2726,25,0,0,0
1620,Optometrist,36,7,20170512231007763_1140x848,thinkaloud,1,3,4,2,35.278569999999945,184,628,108,1626,0,0,0,0
1620,Optometrist,36,7,20170525111826224_1140x848,thinkaloud,0,2,2,1,21.375,456,39,0,1048,0,0,0,0
1620,Optometrist,36,7,20170609154552424_1140x848,thinkaloud,0,1,1,0,35.38940000000002,597,400,0,1395,0,0,0,0
1620,Optometrist,36,7,20170622080837660_1140x848,thinkaloud,0,3,3,2,59.038080000000036,663,1303,629,1496,169,0,0,0
1620,Optometrist,36,7,007-0028-000_1140x848,tracking,0,0,0,0,42.140010000000075,1596,764,29,652,0,0,0,0
1620,Optometrist,36,7,007-0055-000_1140x848,tracking,0,0,0,0,30.787360000000035,1571,378,54,178,0,0,0,0
1620,Optometrist,36,7,007-0142-000_1140x848,tracking,0,0,0,0,23.579099999999926,638,74,0,936,0,0,0,0
1620,Optometrist,36,7,007-0323-000_1140x848,tracking,0,0,0,0,25.020449999999983,377,231,73,1118,0,0,0,0
1620,Optometrist,36,7,007-1774-100_1140x848,tracking,0,1,1,0,24.43859999999995,57,111,143,1453,0,0,0,0
1620,Optometrist,36,7,007-2252-100_1140x848,tracking,1,1,2,0,19.711180000000013,385,356,10,533,37,0,0,0
1620,Optometrist,36,7,007-2469-100_1140x848,tracking,0,1,1,0,25.991390000000024,1642,192,29,13,0,0,0,0
1620,Optometrist,36,7,007-2477-100_1140x848,tracking,2,1,3,0,44.857169999999996,1816,857,61,376,86,32,0,0
1620,Optometrist,36,7,007-2840-100_1140x848,tracking,0,1,1,0,22.803099999999972,324,290,0,1032,0,0,0,0
1620,Optometrist,36,7,007-4250-200_1140x848,tracking,1,4,3,3,44.20593000000008,1157,466,397,1137,33,0,0,0
1620,Optometrist,36,7,007-4850-300_1140x848,tracking,0,3,3,2,21.84644000000003,507,29,0,1039,0,0,0,0
1620,Optometrist,36,7,007-5457-300_1140x848,tracking,0,1,3,0,14.3748700000001,412,141,0,485,0,0,0,0
1620,Optometrist,36,7,007-6320-400_1140x848,tracking,0,3,4,2,23.59301000000005,1147,0,0,528,0,0,0,0
1620,Optometrist,36,7,007-6573-400_1140x848,tracking,0,1,4,0,31.522089999999935,1012,241,295,429,86,179,0,0
1620,Optometrist,36,7,007-7146-400_1140x848,tracking,-1,4,3,3,31.57758000000001,1886,156,0,235,0,0,0,0
1620,Optometrist,36,7,007-7235-400_1140x848,tracking,0,4,4,3,20.98657000000003,986,50,162,234,0,0,0,0
1620,Optometrist,36,7,20170502092649506_1140x848,tracking,0,2,2,1,28.84680000000003,272,1173,137,434,29,37,0,0
1620,Optometrist,36,7,20170518171333730_1140x848,tracking,0,1,1,0,54.53308000000004,481,1297,126,2029,0,0,0,0
1620,Optometrist,36,7,20170519153000176_1140x848,tracking,0,2,3,1,87.80151000000001,545,1799,400,3279,137,0,0,0
1620,Optometrist,36,7,20170521094743135_1140x848,tracking,0,1,2,0,33.33777000000009,1289,348,270,499,0,0,0,0
1676,Optometrist,49,26,007-0028-000_1140x848,thinkaloud,2,0,2,0,48.988039999999955,464,1285,360,1421,0,0,0,0
1676,Optometrist,49,26,007-0055-000_1140x848,thinkaloud,1,0,1,0,41.774900000000116,1918,440,0,622,0,0,0,0
1676,Optometrist,49,26,007-0142-000_1140x848,thinkaloud,0,0,0,0,29.49805000000015,758,1355,0,16,0,0,0,0
1676,Optometrist,49,26,007-0323-000_1140x848,thinkaloud,1,0,1,0,31.383659999999963,687,501,0,1063,0,0,0,0
1676,Optometrist,49,26,007-1774-100_1140x848,thinkaloud,0,1,1,0,27.460329999999885,805,604,0,543,0,0,0,0
1676,Optometrist,49,26,007-2252-100_1140x848,thinkaloud,1,1,2,0,38.77155000000005,559,939,425,645,159,10,26,0
1676,Optometrist,49,26,007-2469-100_1140x848,thinkaloud,0,1,1,0,25.69995999999992,1271,275,0,238,0,0,0,0
1676,Optometrist,49,26,007-2477-100_1140x848,thinkaloud,1,1,2,0,34.959839999999986,2015,15,38,413,0,0,0,0
1676,Optometrist,49,26,007-2840-100_1140x848,thinkaloud,0,1,1,0,56.07165999999984,462,2642,0,925,0,0,0,0
1676,Optometrist,49,26,007-4250-200_1140x848,thinkaloud,1,4,3,3,53.590329999999994,1224,755,544,1200,0,0,0,0
1676,Optometrist,49,26,007-4850-300_1140x848,thinkaloud,0,2,3,1,47.40784000000008,1727,137,0,1511,0,0,0,0
1676,Optometrist,49,26,007-5457-300_1140x848,thinkaloud,0,1,3,0,45.86902000000009,411,1045,142,1666,0,0,0,0
1676,Optometrist,49,26,007-6320-400_1140x848,thinkaloud,0,1,4,0,55.07323999999994,1790,77,42,2022,0,0,0,0
1676,Optometrist,49,26,007-6573-400_1140x848,thinkaloud,0,1,4,0,26.989129999999932,352,306,10,1195,54,0,0,0
1676,Optometrist,49,26,007-7146-400_1140x848,thinkaloud,0,4,4,3,6.47313999999983,468,0,0,0,0,0,0,0
